,User,Date,Compound,Positive,Neutral,Negative
57,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0516,0.159,0.725,0.116
58,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.717,0.499,0.501,0.0
59,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,-0.5848,0.0,0.798,0.202
60,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.163,0.674,0.163
61,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
62,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
63,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
64,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
65,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.7269,0.315,0.576,0.108
66,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
67,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.6369,0.189,0.811,0.0
68,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
69,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
70,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
71,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.7269,0.315,0.576,0.108
72,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,-0.9042,0.065,0.556,0.38
73,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
74,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
75,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.6597,0.241,0.759,0.0
76,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
77,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.1531,0.165,0.706,0.129
78,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
79,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
80,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,-0.9325,0.073,0.443,0.484
81,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
82,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.6369,0.189,0.811,0.0
83,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,-0.7318,0.101,0.62,0.279
84,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,-0.2732,0.0,0.923,0.077
85,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
86,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.5267,0.362,0.638,0.0
87,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,-0.4404,0.0,0.707,0.293
88,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.7506,0.234,0.766,0.0
89,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
90,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
91,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,-0.7346,0.077,0.671,0.252
92,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0516,0.159,0.725,0.116
93,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
94,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.4215,0.219,0.781,0.0
95,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,-0.1759,0.0,0.703,0.297
96,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,-0.802,0.0,0.725,0.275
97,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,-0.8074,0.0,0.673,0.327
98,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
99,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
0,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.34,0.107,0.893,0.0
1,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,-0.6486,0.0,0.583,0.417
2,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
3,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,-0.644,0.0,0.844,0.156
4,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.34,0.107,0.893,0.0
5,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.5994,0.189,0.811,0.0
6,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
7,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.1027,0.062,0.938,0.0
8,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
9,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
10,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.2003,0.141,0.649,0.21
11,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,-0.6486,0.0,0.725,0.275
12,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
13,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.3612,0.185,0.815,0.0
14,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
15,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.4404,0.172,0.828,0.0
16,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0258,0.094,0.816,0.09
17,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,-0.5994,0.0,0.692,0.308
18,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.5994,0.189,0.811,0.0
19,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
20,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.5994,0.189,0.811,0.0
